time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
4.647000,15.062352,-0.825313,-0.032787,16.180702,-0.259589,0.000000,28.000000,0.000000,0.000000,45.499351,45.436790,46.051728,46.117342,0.264870,-0.000013,27.000000,0.000000
4.697000,17.459606,-0.765865,-0.032908,18.994216,-0.278512,0.000000,28.000000,0.000000,0.000000,46.181430,46.047150,45.369650,45.506981,0.264870,-0.000035,29.000000,0.000000
4.747000,18.822621,-0.691719,-0.033068,20.553153,-0.484383,0.000000,24.000000,0.000000,0.000000,46.202792,46.208896,45.346761,45.345235,0.264870,-0.000021,24.000000,0.000000
4.797000,19.149107,-0.604801,-0.033134,20.616809,-0.537564,0.000000,20.000000,0.000000,0.000000,46.170748,46.201266,45.381857,45.351339,0.264870,-0.000008,20.000000,0.000000
4.847000,18.683387,-0.517317,-0.033126,19.842929,-0.140152,0.000000,15.000000,0.000000,0.000000,46.248569,46.076143,45.305562,45.474937,0.264870,0.000007,16.000000,0.000000
4.897000,17.540114,-0.483524,-0.033075,18.317586,-0.105266,0.000000,11.000000,0.000000,0.000000,45.934234,45.764858,45.619898,45.786221,0.264870,0.000012,12.000000,0.000000
4.947000,15.922704,-0.463581,-0.033058,16.416413,-0.089039,0.000000,7.000000,0.000000,0.000000,46.247044,46.213474,45.305562,45.337606,0.264870,0.000004,8.000000,0.000000
4.997000,13.857540,-0.477815,-0.033061,13.943892,0.087005,0.000000,3.000000,0.000000,0.000000,45.447471,45.458152,46.103609,46.094453,0.264870,-0.000012,4.000000,0.000000
5.047000,11.535126,-0.473194,-0.033124,10.808441,-0.233180,0.000000,0.000000,1.000000,0.000000,44.765393,46.179904,46.787213,45.374228,0.264870,0.000014,0.000000,0.000000
5.097000,9.474562,0.055655,-0.032269,8.515565,0.549393,0.000000,0.000000,5.000000,0.000000,45.087358,45.690089,46.485084,45.842679,0.264870,0.000313,0.000000,0.000000
5.147000,7.869247,1.195721,-0.030223,6.672682,1.873886,0.000000,0.000000,10.000000,0.000000,45.247578,46.169223,46.337072,45.351339,0.264870,0.000448,0.000000,0.000000
5.197000,6.625293,2.852446,-0.027742,5.330663,3.606174,0.000000,0.000000,14.000000,0.000000,45.281147,46.137179,46.308080,45.378805,0.264870,0.000490,0.000000,0.000000
5.247000,5.649135,4.938115,-0.025225,4.013906,6.220426,0.000000,0.000000,18.000000,0.000000,45.288777,46.053254,46.300450,45.462730,0.264870,0.000487,0.000000,0.000000
5.297000,4.863225,7.328245,-0.022860,3.209930,9.168674,0.000000,0.000000,22.000000,0.000000,46.370642,44.824903,45.215534,46.694133,0.264870,0.000468,0.000000,0.000000
5.347000,4.234540,9.934508,-0.020759,2.792424,12.055046,0.000000,0.000000,26.000000,0.000000,45.490196,46.021210,46.092927,45.500877,0.264870,0.000411,0.000000,0.000000
5.397000,3.694883,12.738175,-0.018831,2.323500,15.173947,0.000000,0.000000,30.000000,0.000000,45.452049,46.031891,46.128023,45.493248,0.264870,0.000374,0.000000,0.000000
5.447000,3.228056,15.001476,-0.017278,2.119228,18.354624,0.000000,0.000000,25.000000,0.000000,46.678874,44.965286,44.893568,46.569009,0.264870,0.000231,0.000000,0.000000
5.497000,2.799463,16.021651,-0.016544,2.046908,19.171962,0.000000,0.000000,21.000000,0.000000,46.414893,45.075151,45.145342,46.469825,0.264870,0.000093,0.000000,0.000000
5.547000,2.415388,16.126665,-0.016361,1.749426,18.995115,0.000000,0.000000,17.000000,0.000000,46.379797,45.218585,45.174334,46.334020,0.264870,0.000006,0.000000,0.000000
5.597000,2.068745,15.509549,-0.016532,1.481003,18.038237,0.000000,0.000000,13.000000,0.000000,45.603113,46.016632,45.944915,45.539025,0.264870,-0.000057,0.000000,0.000000
5.647000,1.767930,14.329245,-0.016914,1.281436,16.182604,0.000000,0.000000,9.000000,0.000000,46.269932,45.300984,45.276570,46.257725,0.264870,-0.000095,0.000000,0.000000
5.697000,1.530750,12.713683,-0.017390,0.720971,14.098847,0.000000,0.000000,5.000000,0.000000,45.792325,45.587854,45.754177,45.970855,0.264870,-0.000091,0.000000,0.000000
5.747000,1.374420,10.746527,-0.017802,0.683168,11.553903,0.000000,0.000000,0.000000,0.000000,46.092927,45.432212,45.453574,46.126497,0.264870,-0.000081,0.000000,0.000000
5.797000,1.221110,8.919781,-0.018165,0.822358,9.201190,0.000000,0.000000,4.000000,0.000000,44.948501,46.668193,46.599527,44.888991,0.264870,-0.000067,0.000000,0.000000
5.847000,1.085181,8.243148,-0.018358,0.583331,8.287172,0.000000,0.000000,8.000000,0.000000,44.986648,46.474403,46.564431,45.081254,0.264870,-0.000017,0.000000,0.000000
5.897000,0.979193,8.459364,-0.018380,0.480793,8.643864,0.000000,0.000000,12.000000,0.000000,46.018158,45.545129,45.535973,46.007477,0.264870,0.000009,0.000000,0.000000
5.947000,0.904419,9.362686,-0.018299,0.179804,9.701525,0.000000,0.000000,16.000000,0.000000,45.291829,46.237888,46.262303,45.313191,0.264870,0.000019,0.000000,0.000000
5.997000,0.868300,10.776613,-0.018220,0.150914,11.590415,0.000000,0.000000,20.000000,0.000000,45.339132,46.149386,46.215000,45.403220,0.264870,0.000015,0.000000,0.000000
6.047000,0.852620,12.616599,-0.018186,-0.062507,14.045623,0.000000,0.000000,25.000000,0.000000,45.456626,46.215000,46.095979,45.337606,0.264870,-0.000005,0.000000,0.000000
6.097000,0.828776,14.783864,-0.018153,0.152688,16.860979,0.000000,0.000000,29.000000,0.000000,45.716030,45.810636,45.836576,45.740444,0.264870,0.000025,0.000000,0.000000
